what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735394331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735409510
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735410071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735410383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735411085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735418558
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735420710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735421022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735421693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735425546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735428230
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735429056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735429384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735429743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735430975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735516885
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323735519256
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1323735520176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735525215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323735567897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323735568349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323735568989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1323735570299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323735576742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323735577818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323735655116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323735656754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735676114
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735682806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735683103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735683930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735684834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735714662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735720683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735734333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735750495
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735751088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735751415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735752398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735753459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735769979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735771040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735778203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323735817171
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735817827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735818139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735819012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735819761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735823427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323735823443
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735824581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735824909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735825237
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1323735977119
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323735978179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735978507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735978710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323735995963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736008521
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1323736117612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736127799
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323736128127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736128439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736129578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736131216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736170918
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1323736201806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736231165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1323736258652
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1323736258886
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1323736259073
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1323736259261
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1323736259479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736261101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736261351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736261663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736261959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736262209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736262521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736262786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736263067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736263488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736263863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736264237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736264908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736265282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736265750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323736266967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1323736268839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1323736269978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736278339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736300008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736315000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736326965
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323736328899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736329196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736329976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736334390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736336559
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1323736337713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736338025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323736338306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323736910546
